Name,Notes,Sides,Tags
Bacon & Cream Supreme Spaghetti,HelloFresh recipe card,,italian
Bacon & Mushroom Risotto,HelloFresh recipe card,,italian
Baked Potato Soup,HelloFresh recipe card,,soup
Beef Taco Salad,HelloFresh recipe card,,"salad,mexican"
Beefy Stuffed Bell Pepper Soup,HelloFresh recipe card,"bread,italian",soup
Black Pepper Chicken,,asian,asian
Burgers,Grill or Stove,starch,grill
Calzone,Pick fillings,,italian
Cheeseburger Salad,HelloFresh recipe card,,"salad,mexican"
Cheesy Beef Tortilla Melts,HelloFresh recipe card,mexi,mexican
Chef Salad,,,"healthy,salad"
Chicken Biscuit Pot-Pie,HelloFresh recipe card,,casserole 
Chicken Kabobs,,,"grill,healthy"
Chili,,bread,soup
Cookbook,Pick a new item from a cookbook,,other
Creamy Dill Pork Filet,HelloFresh recipe card,,meat
Creamy Lemon-Garlic Chicken Linguine,HelloFresh recipe card,,italian
Creamy Sausage and Tortelloni Soup,HelloFresh recipe card,italian,soup
Crispy Chicken Milanese with Burrata,"HelloFresh recipe card, also good with porkchop",,italian
Double-Cheddar Broccoli Risotto,HelloFresh recipe card,,italian
Eggplant Parmesan,HelloFresh recipe card,,italian
Enchiladas,Beef or Chicken,mexi,mexican
Fish Sticks/Fillets,,starch,seafood
Flautas,"Beef or Chicken, HelloFresh recipe card",mexi,mexican
French-Onion Smothered Pork Chops,HelloFresh recipe card,"veggie,starch",meat
Garlic Butter Shrimp Scampi,HelloFresh recipe card,,italian
Garlicky Shrimp Couscous,HelloFresh recipe card,,seafood
Lasagna,,italian,italian
Meatloaf,Grill or Oven,"starch,veggie",grill
Mongolian Beef,,asian,asian
Motzzarella Herb Chicken,HelloFresh recipe card,veggie,meat
Mushroom Pilaff,,,casserole 
Nachos,Oven or Dutch,,mexican
Orange Chicken,,asian,asian
Pizza,Pick a new topping mix,,italian
"Pizza, BBQ Chicken",Grill or Oven,,italian
"Pizza, Hawaiian",Grill or Oven,,italian
Pork Chops,,"veggie,starch",meat
Pork Sausage & Pepper Stromboli,HelloFresh recipe card,,italian
Pork Schnitzel,HelloFresh recipe card,"veggie,starch",meat
Pork Wonton Soup,HelloFresh recipe card,,soup
Pub-Style Shepherds Pie,HelloFresh recipe card,,casserole 
Quiche,,fruit,breakfast
Ravioli,,italian,italian
San Antonio Beef Bown,HelloFresh recipe card,,mexican
"Sausage, Eggs and Rice",,,breakfast
Scotch Eggs,,,grill
Shrimp Boil,,,seafood
Smashed Gyoza Tacos,HelloFresh recipe card,,asian
Smoked Mac & Cheese,Grill or Oven,,grill
Smoked Shotgun Shells,,veggie,grill
Smoky Chicken Penne,HelloFresh recipe card,,italian
Spaghetti,,italian,italian
Spinach Caprese Salad,HelloFresh recipe card,,"healthy,salad"
Steak,Grill or Stove,"veggie,starch",meat
Sweet Corn and Green Pepper Chowder,HelloFresh recipe card,"bread,italian",soup
Sweet/Sour Chicken,,asian,asian
Tacos,,,mexican
Tomato Soup with Pork Sausage,HelloFresh recipe card,,soup
Tortellini,,italian,italian
Tuna Casserole,,,seafood
Waffles and Bacon,,,breakfast
Crescent Dogs,,starch,easy
Chicken Strips,,starch,easy
Pancakes and Sausage,,,breakfast
"Goat Cheese, Cranberries and Crackers",,,"easy,healthy"
Fondue,"with Bread, Apples, Olives",,italian
Grilled Cheese and Tomato Soup,,,easy
Mac and Cheese and Hot Dogs,,,easy
Tamales,,mexi,mexican
Chicken Fettuccine Alfredo,,italian,italian
Mexican Lasagna,,,"mexican,casserole"
Tater Tot Casserole ,,,casserole 
BLT Sandwiches,,fruit,healthy
